# [Urea] 	 [D] 	 [I] 	 [N] 
2.4	1.4417539265820633e-06	0.001133587357305294	0.9988649708887904
2.45	1.9026094440671055e-06	0.0013116056012643822	0.9986864917893116
2.5	2.510699715767091e-06	0.0015175331372784973	0.998479956163023
2.55	3.3130250029352816e-06	0.0017557308768879614	0.9982409560981427
2.6	4.371568158090853e-06	0.002031235783353535	0.9979643926485244
2.65	5.7680613275317545e-06	0.0023498645606772803	0.9976443673780283
2.7	7.610263081684658e-06	0.0027183322249143423	0.9972740575120469
2.75	1.0040219380892537e-05	0.003144386983349354	0.9968455727973096
2.8	1.3245139188069171e-05	0.0036369661528327536	0.9963497887080107
2.85	1.7471694870347398e-05	0.004206372552153655	0.9957761557529989
2.9	2.3044824493115425e-05	0.0048644762520117435	0.9951124789235183
2.95	3.0392429563322548e-05	0.005624942712352212	0.994344664858105
3.0	4.007780225775314e-05	0.006503491875443989	0.9934564303223066
3.05	5.284215348868049e-05	0.007518189132601737	0.9924289687139131
3.1	6.966033927368774e-05	0.008689771837426703	0.9912405678233203
3.15	9.181378768996811e-05	0.010042012463044158	0.9898661737492573
3.2	0.00012098581553086247	0.011602120854417692	0.9882768933300466
3.25	0.00015938599522869894	0.01340118419485235	0.9864394298099168
3.3	0.00020991211127246756	0.015474642179380767	0.9843154457093289
3.35	0.0002763606256888999	0.017862794344759906	0.9818608450294939
3.4	0.00036369942756274426	0.020611327827657403	0.9790249727447337
3.45	0.00047842020796684396	0.023771851101153388	0.975749728690843
3.5	0.0006289920664034918	0.027402412218116706	0.9719685957154497
3.55	0.0008264428086007072	0.03156796476438217	0.9676055924269733
3.6	0.001085100081403107	0.03634073722241952	0.9625741626961135
3.65	0.0014235303061753803	0.041800436970308025	0.9567760327234391
3.7	0.0018657192850444705	0.04803420195569088	0.9501000787592047
3.75	0.0024425431109983114	0.05513618320672556	0.9424212736822054
3.8	0.003193580181143353	0.0632066065637796	0.9335998132549614
3.85	0.004169312484382977	0.07235012603263775	0.9234805614828676
3.9	0.005433753139525604	0.08267323887585751	0.9118930079844784
3.95	0.007067512764055822	0.09428049591131701	0.8986519913244169
4.0	0.009171272982908837	0.10726921240250616	0.8835595146143242
4.05	0.011869563564527546	0.12172238212055414	0.8664080543146698
4.1	0.015314632041657065	0.13769953890934797	0.8469858290487083
4.15	0.01969004467614815	0.1552254236878818	0.8250845316356543
4.2	0.02521346397960268	0.1742765312862384	0.800510004733815
4.25	0.032137820991580086	0.19476596386407993	0.7730962151440309
4.3	0.04074987128273044	0.21652753430408653	0.7427225944128679
4.35	0.05136494861554972	0.23930072046593792	0.7093343309181909
4.4	0.06431670297868605	0.26271882191330864	0.6729644751076419
4.45	0.07994084599918991	0.2863033496129221	0.6337558043875636
4.5	0.09855254377179257	0.3094680446948726	0.5919794115329828
4.55	0.1204181590329769	0.331535660880365	0.5480461800863622
4.6	0.14572348540238764	0.35176945061700565	0.5025070639802749
4.65	0.17454218229024446	0.36941905207833126	0.45603876563111123
4.7	0.20680935260935346	0.3837773995353395	0.409413247855033
4.75	0.24230556314788693	0.3942420608972087	0.3634523759545727
4.8	0.2806556560140537	0.40037204067515986	0.31897230331056475
4.85	0.32134440120891444	0.401930605418673	0.2767249933721743
4.9	0.3637478661792719	0.39890659980653004	0.23734553401396774
4.95	0.4071790934925901	0.3915133121308599	0.20130759437634402
5.0	0.450928952066554	0.3801538805981605	0.16891716733499004
5.05	0.49431634465061924	0.3653814890059305	0.1403021663431734
5.1	0.5367274106343218	0.34784488716573575	0.11542770219969002
5.15	0.577641263358408	0.3282315707766066	0.09412716586482014
5.2	0.6166444540319093	0.30721843935160703	0.07613710661630431
5.25	0.6534341039575078	0.28543325244588935	0.0611326435963602
5.3	0.6878121303939638	0.26342860551419445	0.048759264091519865
5.35	0.7196735040384952	0.2416678965034552	0.03865859945774363
5.4	0.748991327413846	0.2205213267015201	0.03048734588431124
5.45	0.7758009928075912	0.20026936069143841	0.02392964650062591
5.5	0.8001850098628285	0.18111106253163328	0.018703927605227086
5.55	0.8222594597151931	0.16317508475958642	0.014565455524865774
5.6	0.8421625281521339	0.14653160232635665	0.0113058695211791
5.65	0.8600452103268833	0.1312040071836428	0.008750782489166596
5.7	0.8760640594288666	0.1171796324604433	0.00675630811037859
5.75	0.8903757349893376	0.10441912557065272	0.005205139439692681
5.8	0.9031330594742516	0.09286433741156352	0.0040026031138745395
5.85	0.9144822980106444	0.08244475595833589	0.0030729460307325714
5.9	0.9245613972102543	0.07308260557267457	0.0023559972167973195
5.95	0.9334989596886669	0.06469677929343547	0.001804261017612805
6.0	0.94141376630961	0.057205785254981704	0.0013804484351359382
6.05	0.9484146975817136	0.05052988327317456	0.0010554191448486844
6.1	0.954600936907642	0.044592571727152065	0.0008064913649554797
6.15	0.9600623642529991	0.039321564256432975	0.00061607149031761
6.2	0.964880072819053	0.0346493740220636	0.0004705531586492617
6.25	0.9691269564472453	0.030513602482042834	0.0003594410704682085
6.3	0.9728683314918407	0.026857010868721984	0.00027465763919200513
6.35	0.9761625652676937	0.023627436363629673	0.00020999836842874173
6.4	0.9790616930484973	0.02077760127783235	0.0001607056734409201
6.45	0.9816120110821618	0.018264852308274626	0.00012313660935256703
